#ThreadID Size Duration #authors #distinctLinks
1907 1 0.000000 2 1
1908 1 0.000000 2 1
1911 1 0.000000 2 1
1917 2 36171.000000 2 1
1919 1 0.000000 2 1
1922 1 0.000000 2 1
1923 2 1177.000000 3 2
1924 1 0.000000 2 1
1925 1 0.000000 2 1
1927 2 21487.000000 3 2
1929 1 0.000000 2 1
1931 4 1714.000000 4 4
1932 2 9475.000000 3 2
1933 3 11752.000000 2 1
1935 7 207336.000000 4 3
1937 44 494098.000000 25 37
1938 1 0.000000 2 1
1939 1 0.000000 2 1
1941 1 0.000000 2 1
1942 3 2727.000000 2 1
1947 1 0.000000 2 1
1948 4 37546.000000 5 4
1950 2 15719.000000 3 2
1951 1 0.000000 2 1
1952 1 0.000000 2 1
1955 2 19487.000000 2 1
1956 1 0.000000 2 1
1957 1 0.000000 2 1
1958 1 0.000000 2 1
1964 2 48733.000000 3 2
1966 1 0.000000 2 1
1971 1 0.000000 2 1
1972 1 0.000000 2 1
1975 2 82630.000000 3 2
1976 2 35535.000000 2 1
1978 1 0.000000 2 1
1979 6 57758.000000 5 4
1981 2 3410.000000 3 2
1983 1 0.000000 2 1
1984 1 0.000000 2 1
1985 3 58928.000000 4 3
1986 11 67935.000000 5 6
1987 1 0.000000 2 1
1988 1 0.000000 2 1
1990 3 220890.000000 3 2
1991 2 363.000000 3 2
1992 1 0.000000 2 1
1993 8 7344.000000 6 6
1995 1 0.000000 2 1
2001 2 5065.000000 3 2
2005 2 60585.000000 3 2
2008 1 0.000000 2 1
2009 9 297209.000000 8 8
2011 1 0.000000 2 1
2013 1 0.000000 2 1
2014 2 22219.000000 3 2
2015 2 185089.000000 3 2
2022 3 6991.000000 4 3
2023 1 0.000000 2 1
2026 1 0.000000 2 1
2029 1 0.000000 2 1
2033 2 296557.000000 2 1
2036 1 0.000000 2 1
2037 2 95604.000000 3 2
2038 4 7893.000000 4 3
2041 1 0.000000 2 1
2043 1 0.000000 2 1
2050 13 105782.000000 8 7
2057 2 10279.000000 3 2
2058 1 0.000000 2 1
2059 2 30486.000000 3 2
2060 1 0.000000 2 1
2064 1 0.000000 2 1
2065 1 0.000000 2 1
2066 3 378601.000000 4 3
